factor,roi,diff,SSIM
1,LTX145_Da211_idx3,1.2409673422546455e-5,0.9999999992688083
1,LTX051_Da2067_idx1,1.1812457787638604e-5,0.9999999986913699
1,LTX029_Da372_idx1,1.129077464109125e-5,0.9999999994618145
1,LTX092_Da378_idx5,1.755734457077737e-5,0.9999999983434197
1,LTX144_Da246_idx2,1.4750466871296788e-5,0.9999999983055008
1,LTX055_Da738_idx1,1.6260271868065414e-5,0.9999999984246901
1,LTX102_Da672_idx2,2.1578015885024194e-5,0.9999999972939208
1,LTX062_Da313_idx2,1.0517955766609676e-5,0.9999999994207732
1,LTX051_Da294_idx1,1.2148526174743417e-5,0.9999999991850054
1,LTX051_Da1230_idx2,3.0437741153050296e-5,0.9999999938686227
1,LTX100_Da336_idx3,3.097665822531291e-5,0.999999994712189
1,LTX001_Da256_idx1,1.3640693763298515e-5,0.9999999976810195
1,LTX102_Da847_idx1,1.9194046293121557e-5,0.9999999975463328
1,LTX013_Da154_idx3,1.5503928603827368e-5,0.9999999984484325
1,LTX021_Da106_idx1,1.4935827471483662e-5,0.999999998833405
1,LTX156_Da195_idx1,1.756490134619899e-5,0.9999999975734888
1,LTX100_Da336_idx2,1.9345741712864025e-5,0.9999999975083594
1,LTX145_Da318_idx1,2.0052778824793645e-5,0.9999999974409373
1,LTX001_Da107_idx1,2.61413212110053e-5,0.9999999966596187
1,LTX055_Da2158_idx3,1.0468503823051877e-5,0.9999999995526274
1,LTX108_Da1561_idx1,2.524112309969675e-5,0.9999999945153236
1,LTX210_Da691_idx1,2.8359061923844752e-5,0.9999999943895062
1,LTX055_Da1309_idx1,2.80354559535591e-5,0.9999999965309226
1,LTX001_Da256_idx2,1.958834881702405e-5,0.9999999975990989
1,LTX051_Da435_idx2,1.8174133346128548e-5,0.999999996880273
1,LTX073_Da501_idx2,1.460799200044728e-5,0.9999999986999458
1,LTX115_Da177_idx2,1.636656286117104e-5,0.9999999982117552
1,LTX049_Da1488_idx1,1.2093761582139266e-5,0.9999999993234503
1,LTX051_Da2067_idx2,1.6578034335130445e-5,0.9999999981729559
1,LTX029_Da2340_idx1,1.583891914902767e-5,0.9999999989824999
1,LTX145_Da318_idx4,6.414218727908866e-6,0.9999999997938179
1,LTX021_Da110_idx3,2.196525241432556e-5,0.9999999979636093
1,LTX092_Da379_idx3,2.0454207203617295e-5,0.999999998289133
1,LTX092_Da523_idx1,9.392973719476144e-6,0.9999999992396549
1,LTX092_Da252_idx4,2.8857063081346975e-6,0.9999999999645012
1,LTX001_Da232_idx2,2.198496881891641e-5,0.9999999969661693
1,LTX185_Da363_idx3,1.774877660563968e-5,0.9999999980163428
1,LTX079_Da50_idx2,1.7155916531851124e-5,0.999999997884062
1,LTX082_Da161_idx3,1.844946253210969e-5,0.99999999885295
1,LTX115_Da177_idx1,2.4483046109070462e-5,0.9999999974723596
1,LTX145_Da211_idx1,1.314968687919813e-5,0.9999999990709749
1,LTX102_Da564_idx2,6.4257010815829545e-6,0.9999999997869405
1,LTX091_Da355_idx3,1.8954917505437025e-5,0.9999999979344136
1,LTX109_Da530_idx2,1.3210335433252415e-5,0.9999999989085451
1,LTX102_Da632_idx3,1.3182323447499433e-5,0.9999999991053499
1,LTX210_Da508_idx1,6.078435962938934e-6,0.9999999996149646
1,LTX050_Da316_idx1,2.0029690326807414e-5,0.9999999980758312
1,LTX092_Da370_idx3,6.787142080311213e-6,0.9999999995162929
1,LTX092_Da523_idx2,1.1309570631682727e-6,0.9999999999936016
1,LTX193_Da153_idx3,2.3992587375496342e-5,0.9999999973888246
1,LTX109_Da1569_idx2,2.0424741456338475e-5,0.9999999981818938
1,LTX092_Da252_idx1,1.8404932665459314e-5,0.9999999982030698
1,LTX102_Da632_idx2,2.0855230672618074e-5,0.9999999974119828
1,LTX055_Da738_idx3,1.4782201960471943e-5,0.9999999987239573
1,LTX108_Da346_idx1,2.0305025806639113e-5,0.9999999974402283
1,LTX092_Da104_idx3,1.1023259292189354e-5,0.9999999994583098
1,LTX050_Da261_idx1,1.2361746585725026e-5,0.9999999988990947
1,LTX073_Da277_idx1,2.8329228821498004e-5,0.9999999956550721
1,LTX091_Da525_idx2,4.424750570823712e-6,0.9999999998566715
1,LTX013_Da153_idx3,1.5971975926268814e-5,0.9999999984229203
1,LTX021_Da110_idx1,2.247183448341445e-5,0.9999999973656862
1,LTX206_Da250_idx1,3.074698626355584e-5,0.9999999951907783
1,LTX049_Da1488_idx2,1.2739379010319905e-5,0.999999999190435
1,LTX092_Da252_idx3,1.5823458219381984e-5,0.9999999975955686
1,LTX073_Da1081_idx1,1.9408492784666593e-5,0.9999999978682426
1,LTX156_Da2042_idx2,1.804774701049544e-5,0.9999999983457961
1,LTX102_Da847_idx2,8.479712586738292e-6,0.999999999525977
1,LTX029_Da372_idx3,2.268354771884825e-5,0.9999999972767122
1,LTX001_Da374_idx1,2.1767645530013633e-5,0.9999999970316935
1,LTX051_Da1513_idx1,2.1134143669316567e-5,0.9999999978900831
1,LTX160_Da242_idx3,1.3257648649583604e-5,0.999999998821514
1,LTX051_Da435_idx4,1.866639727984389e-5,0.9999999971207045
1,LTX055_Da409_idx2,2.1155184980142054e-5,0.9999999970416635
1,LTX021_Da211_idx3,1.5754462445462016e-5,0.9999999989135216
1,LTX001_Da256_idx4,1.5213420266303725e-5,0.9999999986809823
1,LTX049_Da134_idx1,1.6602700362731034e-5,0.9999999985218077
1,LTX091_Da355_idx1,8.2544021297412e-6,0.9999999995209785
1,LTX092_Da130_idx2,8.971268344818311e-6,0.9999999994817536
1,LTX102_Da610_idx3,1.161266725643811e-5,0.9999999994309496
1,LTX156_Da195_idx2,1.110285444100678e-5,0.9999999991223764
1,LTX102_Da610_idx2,8.098890092071272e-6,0.9999999996660316
1,LTX051_Da435_idx5,9.056082209268806e-6,0.9999999995675468
1,LTX013_Da148_idx2,3.390233939025749e-5,0.9999999943403828
1,LTX092_Da524_idx2,2.1404159258056497e-5,0.9999999979267636
1,LTX082_Da161_idx2,2.3151093953219803e-5,0.9999999958708682
1,LTX144_Da554_idx1,2.248351270947351e-5,0.999999997988074
1,LTX206_Da250_idx3,2.53869232853558e-5,0.9999999958400551
1,LTX051_Da328_idx3,1.3641924263286281e-5,0.9999999988108295
1,LTX102_Da672_idx1,2.1781595809610115e-5,0.9999999976154119
1,LTX051_Da328_idx2,1.445728268391786e-5,0.9999999989579809
1,LTX051_Da328_idx1,2.3199945383394716e-5,0.9999999966853745
1,LTX001_Da163_idx2,2.959519732999122e-5,0.9999999940520783
1,LTX073_Da196_idx3,2.418365513884708e-5,0.9999999961069773
1,LTX049_Da334_idx1,1.5608347732923707e-5,0.9999999987953513
1,LTX049_Da1564_idx1,9.056625960547352e-6,0.9999999994973598
1,LTX082_Da1219_idx1,1.1874624623765407e-5,0.9999999992780846
1,LTX013_Da153_idx1,3.717999986320675e-5,0.9999999905848004
1,LTX091_Da268_idx1,1.3374127803287695e-5,0.9999999986216851
4,LTX145_Da211_idx3,1.0657822298626665e-5,0.9999999994208332
4,LTX051_Da2067_idx1,8.531079164811942e-6,0.9999999996250781
4,LTX029_Da372_idx1,2.136139071280586e-5,0.9999999980205024
4,LTX092_Da378_idx5,1.4640601876584776e-5,0.9999999986928078
4,LTX144_Da246_idx2,2.0669560477732586e-5,0.999999996725688
4,LTX055_Da738_idx1,1.875843167851412e-5,0.9999999968599995
4,LTX102_Da672_idx2,2.122928881969204e-5,0.9999999972304566
4,LTX062_Da313_idx2,1.2924667654494384e-5,0.9999999980297494
4,LTX051_Da294_idx1,7.6185480563214785e-6,0.9999999996171561
4,LTX051_Da1230_idx2,2.9761057919788345e-5,0.9999999926809846
4,LTX100_Da336_idx3,2.954911622926439e-5,0.9999999940999651
4,LTX001_Da256_idx1,1.2896671737971748e-5,0.9999999990546498
4,LTX102_Da847_idx1,2.9704193580973377e-6,0.9999999999531721
4,LTX013_Da154_idx3,2.0921397836426293e-5,0.9999999980423974
4,LTX021_Da106_idx1,1.0131528888364102e-5,0.9999999993715498
4,LTX156_Da195_idx1,1.797633563155898e-5,0.999999997721707
4,LTX100_Da336_idx2,1.4766857382779976e-5,0.9999999977191862
4,LTX145_Da318_idx1,9.858328455939453e-6,0.9999999995026436
4,LTX001_Da107_idx1,2.3777391516259628e-5,0.9999999969483372
4,LTX055_Da2158_idx3,1.3360078208216176e-5,0.9999999992186624
4,LTX108_Da1561_idx1,1.3879222691695817e-5,0.9999999986435784
4,LTX210_Da691_idx1,1.232012316717651e-5,0.999999999106706
4,LTX055_Da1309_idx1,2.3353533474546173e-5,0.9999999969735787
4,LTX001_Da256_idx2,1.6679931609966634e-5,0.9999999974633866
4,LTX051_Da435_idx2,1.782243981019238e-5,0.999999997996282
4,LTX073_Da501_idx2,1.850323319610044e-5,0.9999999976435331
4,LTX115_Da177_idx2,1.479237733265178e-5,0.999999998271748
