pca_coord_1,pca_coord_2,pca_coord_3,pca_coord_4,pca_coord_5,pca_coord_6,pca_coord_7,pca_coord_8,pca_coord_9,pca_coord_10,pca_coord_11,pca_coord_12,pca_coord_13,pca_coord_14,pca_coord_15,pca_coord_16,pca_coord_17,idx_ROI
2.9357012202281e-5,-1.9179192065222854e-5,6.902544541752651e-6,-1.2694592507200702e-6,4.850386144903406e-6,-3.3155563171569267e-6,4.4259116699182713e-7,-2.3357123105710907e-6,1.9814661070551846e-6,-7.232868617418255e-7,1.0609774605159249e-6,-1.4770380294330367e-6,1.152772539133789e-6,1.8728477360513103e-6,-5.683722303516237e-6,6.180633862800474e-7,-1.2163325351548392e-6,LTX082_Da1219_idx1
2.0154067381457035e-6,2.3362628861085202e-5,4.182922937340813e-6,-6.680608296703318e-6,8.020526585009515e-6,3.984580381750001e-6,-2.8409958511893007e-6,9.040909716565224e-6,1.7650664605653178e-6,2.922912491468716e-6,-1.769892932357161e-6,3.331462153662539e-7,-2.1565645132069604e-6,-2.2111162470708603e-6,1.919895126823511e-7,2.5079647547520376e-6,-6.721844226410695e-7,LTX115_Da164_idx2
2.0736125520407537e-5,-9.353586312224711e-6,1.747279228232867e-6,-1.1627553374013515e-6,4.736429292652998e-6,2.9721769734784795e-6,2.8122255184889108e-6,1.1077825532784027e-6,5.656837532934286e-7,-2.413420608339353e-6,-5.092972427160888e-8,1.8329739437115054e-6,-1.7379647575405532e-6,3.6921576917203866e-7,-1.4208608819831803e-6,2.26954273723545e-7,-7.533070579084693e-7,LTX100_Da336_idx4
5.901350067445072e-6,1.7073020873056326e-5,5.840616770739862e-7,2.953633812506665e-6,1.3229567640783972e-7,-2.1918024359630896e-6,9.622191213245643e-7,3.810973607272889e-6,-2.4500522146672055e-6,2.3015779059299214e-6,-2.665567453718629e-6,-1.5132184122933113e-6,-2.1530015638581145e-7,1.684759037364872e-6,1.7423405083727542e-6,-2.648809876915278e-6,-1.4321208278887314e-6,LTX144_Da1763_idx1
2.9940557783106763e-5,-9.601180641149293e-6,-1.597896377742435e-7,4.849267099534411e-6,2.707925547506376e-6,-3.6746246115407623e-6,-1.4730618289111906e-6,1.7635667766784458e-6,1.5578376975208215e-6,4.908043663822914e-7,-1.6579109788258138e-6,1.0953610101077402e-6,5.98376439154936e-7,1.210827954658065e-6,1.1035838971130002e-6,-1.2766180539150939e-6,2.8551647731791346e-6,LTX051_Da2067_idx3
2.8210339398970306e-5,-1.4729290353802917e-5,-3.93516096011054e-6,1.9440017523688434e-6,-4.224911143612324e-6,1.1057641484631484e-5,1.6321873837297838e-6,-1.4211019614934014e-6,-3.4633030163490782e-6,2.9984987233328563e-6,1.301965016637e-6,-5.704012482407467e-6,-2.4111590454765237e-6,-2.9408828661826287e-6,1.2781309507102138e-6,-4.5584384193446585e-9,-8.240596064136631e-7,LTX100_Da913_idx1
-7.952671090428331e-5,4.9550138733928164e-6,-1.7367108635886736e-5,7.424322708242212e-6,1.268639287236081e-7,-6.481347487090576e-6,-1.0369736192972877e-5,-1.2934624061585866e-6,-3.086698691775825e-6,-2.608282398463419e-6,9.039068524582251e-6,3.926526517570954e-6,-8.438356693256753e-7,-8.006538073658117e-7,-3.0634701921539235e-6,-6.751845902761724e-7,1.6586913572014463e-7,LTX144_Da246_idx4
2.529755238595722e-5,-1.0263490193153997e-5,-4.993023466167974e-7,1.8323034220052617e-6,-1.4442373227865338e-6,3.1934891260874297e-7,2.715968696415626e-6,1.707777037655493e-6,1.0588600456435732e-6,-1.0808315726277648e-6,-1.7992322931194806e-6,5.647108026261504e-7,-1.7307851332088368e-6,1.7697436469146437e-6,1.8558827922595001e-6,-8.008220405150024e-8,9.449662107443931e-8,LTX100_Da1257_idx1
-3.5028614852824386e-5,-7.869446996232761e-6,7.244600183409337e-6,-2.4354367276081467e-6,9.85578241793591e-7,1.2129877782397522e-6,-8.519378086256651e-6,-1.514401483195489e-6,-7.293294852859807e-6,-9.725428153874767e-6,-5.1446102797275915e-6,-3.6511116645843215e-6,2.710033067446361e-6,-4.457392933794108e-6,1.0659489798502688e-7,6.735253269248826e-6,1.7705126520980993e-7,LTX160_Da242_idx2
3.077581580624589e-5,-1.873035110212822e-5,6.402072487921909e-6,-1.3575056216139484e-6,3.9767363611545095e-6,-2.4637439904915632e-6,4.427675294651967e-7,-1.5395238857376916e-6,1.3243102552363946e-6,-2.122122068074533e-6,-2.445936414020398e-7,1.2872326060482678e-6,-6.030626420502813e-7,-1.1577739090625386e-6,1.961757078922696e-6,-9.809138103220293e-7,-2.0349006457799313e-6,LTX092_Da523_idx2
