x,y
2695,2389
1000,2238
2184,2830
3178,3143
3590,2432
1376,200
2107,2387
2738,3223
2873,2386
3875,2379
1244,752
2151,2289
3935,2473
2678,2218
64,2260
996,2046
3808,2380
1928,2719
2595,3801
292,1235
2217,2358
3070,888
2656,2129
96,668
2585,3811
1025,176
2650,1440
2962,2407
1064,2379
2866,1129
1726,1959
2295,2903
1465,2580
1747,2558
987,3358
2853,2343
3259,3225
2739,18
2566,2356
1824,2709
3750,2420
2953,2461
3222,2542
3218,899
993,2011
3203,2466
1677,2355
454,781
2385,2949
2656,1365
3123,2440
977,722
3789,56
293,2267
2112,2857
1740,2205
2699,2369
1881,2560
1107,3336
294,327
1417,3394
218,555
903,2074
2253,2335
2150,2044
1198,2267
1873,2297
46,2188
2289,1838
853,2312
1159,2214
2056,2352
2755,2413
3098,2209
1052,2099
788,2253
329,3504
2122,2532
1032,2094
2633,2129
1739,2600
1063,2406
2220,2240
1717,160
861,2266
534,2295
2136,2107
3797,2423
2661,2130
2822,1885
2949,3086
250,3170
1532,2991
847,2242
3858,2408
336,2009
1218,2272
371,15
3145,2274
1929,2504
688,2049
2554,1610
739,2277
370,580
1162,250
2006,2383
1753,2550
2655,2130
2127,2989
1707,2257
970,2274
2138,1927
2092,2533
1846,1987
2760,939
2900,2385
2273,1849
1685,2265
84,2111
1628,2659
1245,2288
1030,765
1178,2074
2015,3708
2811,3054
3748,2402
1166,42
3026,975
3128,1042
2149,2214
1671,2726
2545,1353
796,592
1776,2617
2078,2702
1734,3526
3789,2411
3555,2363
2096,2868
1326,2056
3171,2239
1207,73
1995,2362
3244,789
1975,2184
3660,2967
2316,2432
2626,1250
2690,2297
3665,2855
627,2179
2125,2207
2582,1478
288,570
3517,2391
2657,2402
2510,2380
2993,3235
2150,2049
3326,3203
2427,2897
1177,3276
1850,211
1692,2620
3961,2393
3203,2483
212,2275
1952,2565
455,2218
1535,3007
2268,2412
3053,1095
441,1984
1845,3709
2708,2372
71,1999
3111,2436
2455,2269
3047,2398
766,783
2614,2233
2259,88
3105,3158
1901,2253
2416,1916
2666,2367
3002,2511
1557,2650
1929,195
3208,3029
2288,3581
2781,3037
1756,2784
1587,2476
1403,2405
1110,775
133,555
3137,779
3206,2482
2540,1673
1093,2295
294,2260
128,1129
377,2009
1942,3685
32,2045
2181,1944
591,177
2333,3596
2939,3047
505,574
1963,2203
313,409
2697,1701
3652,2857
213,464
1494,2620
2378,2919
2442,1960
2464,2332
2525,1682
118,3484
853,2089
2774,1101
38,3498
548,306
2447,91
1233,136
2278,3510
3497,2318
2198,1946
1856,1988
2686,1186
2705,1175
629,322
1634,3373
817,2308
2935,2518
2637,1341
2088,2378
2211,2523
2010,3562
2195,2835
2251,3961
3188,823
3932,2394
1236,594
1426,2268
757,237
2623,2292
1976,2274
2329,2874
879,2235
2792,1443
2870,3310
2082,2862
1731,1072
1827,2808
2791,1200
3954,2451
1614,2292
2150,3922
1639,2409
1434,42
2651,1431
3086,2480
2837,1828
3479,2537
2248,3958
953,2295
3056,2539
1363,2313
2728,1400
2087,2395
764,167
70,2191
3173,2235
52,2030
2916,2222
2041,1165
430,5
1781,3032
2982,1075
1847,2519
3249,2536
2062,2362
3230,3164
1898,1990
1563,2610
2528,1603
3081,2088
1468,2242
2047,3475
1595,2302
2353,2374
2187,2368
124,2141
2587,1694
2237,2355
2491,2342
141,1110
1944,2707
341,3487
3780,14
2213,2136
1792,2786
2737,2436
1733,2579
3189,2527
311,2144
832,193
157,413
2551,1433
2058,2744
1415,2463
1134,2411
3015,2512
2097,1936
1084,2244
229,446
1998,2005
1958,1977
3241,2481
1726,3553
2570,1484
2817,2391
1886,3706
1905,3765
2527,2124
3247,878
3535,2321
2227,2830
2042,2373
2707,2398
3291,14
3815,2519
1164,3332
2223,2098
2299,2922
2829,1408
541,2172
2980,2192
1735,2596
1353,3346
1170,3092
916,141
1846,2587
1591,2483
262,1304
3202,3010
552,749
3888,2485
2949,3042
3852,2523
1374,75
3044,2473
2645,1337
2462,2455
854,2074
807,794
213,1996
3197,765
2335,3479
2106,2404
1871,2755
2733,1394
1161,80
3588,2530
213,2142
3003,3037
1700,2171
2811,2397
1672,1996
3844,56
2062,3550
1498,3337
1190,3206
3608,2411
961,2245
1738,239
2085,1939
1651,2535
2669,1326
3577,47
1692,2273
1787,2292
1342,2053
2551,2180
2987,1149
2680,2441
2792,1444
3297,3219
2437,2073
3503,2413
2158,1191
1183,514
680,2059
1140,2303
1961,1973
549,569
1145,3115
127,400
2311,1631
1694,3635
1081,789
1744,3524
743,2062
2726,2462
3378,160
968,724
2684,2048
2974,1077
3206,2485
1144,2155
1754,3513
439,2288
1705,2178
3248,2473
255,2260
2695,986
1666,2349
3601,2427
2265,3400
2041,1978
633,2280
370,515
1013,764
2097,2150
1515,26
2981,1128
2733,3963
2173,198
2749,2403
855,2304
3063,920
1614,2575
2987,3063
1626,2319
3831,2437
2072,3554
2733,1405
1693,2733
3359,2487
2126,2210
843,2308
1422,2304
1653,123
210,1989
1745,2276
2326,3602
2945,2023
2492,10
896,2291
1583,2675
2623,1353
3238,772
3115,2529
1850,2567
1679,3452
2794,2226
1858,3668
1803,238
1523,3306
2000,3483
2973,2068
885,2311
1892,1999
1280,2279
793,578
3231,951
3704,2324
1163,3095
1440,376
1122,796
2546,2457
2852,2075
1691,139
1571,2660
2737,1284
770,2091
2273,2182
480,2135
2057,3708
2188,1945
1821,2334
1337,2520
1992,3708
2717,2230
1022,2437
191,554
2047,1158
3643,2863
2708,2373
3962,2411
576,583
343,2188
2478,2922
2704,2147
143,2193
1289,3176
2992,3113
792,2216
2684,3839
1692,2602
1491,2620
1756,3437
1108,2446
1976,1179
