ROI,cluster
CRUK0052_R4,1
CRUK0037_R5_ROI_2,5
CRUK0009_R3_ROI_1,2
CRUK0024_R7_ROI_1,2
CRUK0004_R3_ROI_1,2
CRUK0009_R3_ROI_2,5
CRUK0006_R2_ROI_2,7
CRUK0001_R2_ROI_1,4
CRUK0036_R2_ROI_1,5
CRUK0034_R1_ROI_2,7
CRUK0047_R1,0
CRUK0024_R8,4
CRUK0041_R2_ROI_1,7
CRUK0012_R1_ROI_2,4
CRUK0037_R4_ROI_1,1
CRUK0052_R3,6
CRUK0009_R4_ROI_1,7
CRUK0051_R4_ROI_1,7
CRUK0034_R3,7
CRUK0015_R1,7
CRUK0041_R2_ROI_2,7
CRUK0010_R1_ROI_1,6
CRUK0046_R4_ROI_2,0
CRUK0036_R1_ROI_1,0
CRUK0001_R1_ROI_1,7
CRUK0015_R2,3
CRUK0002_R3_ROI_1,3
CRUK0009_R4_ROI_2,7
CRUK0003_R6,4
CRUK0006_R2_ROI_1,4
CRUK0037_R5_ROI_1,4
CRUK0001_R3_ROI_1,4
CRUK0002_R1_ROI_1,3
CRUK0001_R2_ROI_2,4
CRUK0036_R2_ROI_2,1
CRUK0002_R1_ROI_2,3
CRUK0034_R1_ROI_1,4
CRUK0001_R1_ROI_2,7
CRUK0012_R1_ROI_1,7
CRUK0057_R2_ROI_1,7
CRUK0024_R7_ROI_2,4
CRUK0001_R3_ROI_2,7
CRUK0046_R3_ROI_1,1
CRUK0009_R2,7
CRUK0048_R2,4
CRUK0036_R1_ROI_2,0
CRUK0002_R2_ROI_2,4
CRUK0046_R3_ROI_2,2
CRUK0010_R1_ROI_2,3
CRUK0036_R3_ROI_2,1
CRUK0010_R2,3
CRUK0052_R1_ROI_1,4
CRUK0002_R3_ROI_2,7
CRUK0024_R2,7
CRUK0057_R2_ROI_2,4
CRUK0052_R1_ROI_2,4
CRUK0002_R2_ROI_1,7
CRUK0004_R3_ROI_2,2
CRUK0036_R3_ROI_1,1
CRUK0046_R4_ROI_1,2
CRUK0051_R4_ROI_2,6
CRUK0024_R1,4
