ROI,ECM_cancer_dim1_PCA_coord1,ECM_cancer_dim1_PCA_coord2
CRUK0052_R4,2.852406772497031e-5,-2.6499878496912136e-5
CRUK0037_R5_ROI_2,1.2066027734978344e-5,1.015375539465743e-5
CRUK0001_R3_ROI_1,1.4759611847680621e-5,3.4052443952467454e-7
CRUK0009_R3_ROI_1,1.2874077882322486e-5,-2.162668168937901e-5
CRUK0002_R1_ROI_1,1.3962731174151686e-5,-1.8890127058277645e-6
CRUK0001_R2_ROI_2,1.4244231164091181e-5,7.331489232754601e-6
CRUK0024_R7_ROI_1,-1.202308542998396e-5,3.656464254147197e-6
CRUK0004_R3_ROI_1,-2.270368743086529e-5,-5.692106921523676e-6
CRUK0009_R3_ROI_2,2.23292340656529e-5,-2.0378715741579795e-5
CRUK0036_R2_ROI_2,4.418751612410713e-6,6.244183926121035e-6
CRUK0036_R2_ROI_1,-1.2083212342587415e-5,7.047277435988832e-7
CRUK0001_R2_ROI_1,-1.6274201066288135e-5,-1.094112803320417e-5
CRUK0002_R1_ROI_2,-7.016326209108833e-6,2.2989761322044615e-5
CRUK0034_R1_ROI_2,2.5365753895253095e-5,1.6324900703194454e-5
CRUK0024_R8,2.1948129091389644e-5,9.079803706887713e-6
CRUK0041_R2_ROI_1,-5.357474312041729e-6,-8.864644995905093e-6
CRUK0012_R1_ROI_2,1.0669876152607221e-5,9.13740099670473e-6
CRUK0034_R1_ROI_1,3.978221940678584e-5,-5.200959624682481e-8
CRUK0037_R4_ROI_1,-1.2597140625704591e-5,-2.4170422368475004e-5
CRUK0001_R1_ROI_2,2.0342531736545426e-6,-1.0031451526534697e-5
CRUK0012_R1_ROI_1,2.1825959506003404e-5,4.5252101389178555e-6
CRUK0052_R3,-2.870408991527945e-5,-6.31361744919655e-6
CRUK0057_R2_ROI_1,-1.4724969924911088e-5,1.277389916343328e-5
CRUK0009_R4_ROI_1,-1.4796335459327714e-5,-1.6168072061388356e-5
CRUK0051_R4_ROI_1,1.3346346062337167e-5,-1.31381823855268e-5
CRUK0024_R7_ROI_2,2.4547649871476847e-5,-2.236235455833439e-6
CRUK0001_R3_ROI_2,1.970262112949501e-6,1.4193772391315993e-6
CRUK0046_R3_ROI_1,6.219519588432263e-6,1.1322816235643946e-5
CRUK0009_R2,-1.4002970650605003e-5,-1.1831396742384177e-5
CRUK0048_R2,-1.1124657085603614e-5,5.644102937432466e-6
CRUK0034_R3,7.441155023938455e-5,-4.1025435173936e-5
CRUK0036_R1_ROI_2,-1.8853645671328788e-6,3.42828171873317e-5
CRUK0002_R2_ROI_2,4.463936905488879e-5,2.5121568076612388e-5
CRUK0015_R1,-2.6908542504310626e-5,-4.466062882407301e-7
CRUK0046_R3_ROI_2,5.157855364643496e-6,-8.519965089402555e-6
CRUK0041_R2_ROI_2,-2.261039910189502e-7,1.3827675067214846e-5
CRUK0010_R1_ROI_2,-1.572856043155153e-5,1.6640717523621695e-5
CRUK0036_R3_ROI_2,-2.550702336475592e-5,-1.735531705640473e-5
CRUK0010_R1_ROI_1,-3.080475994354276e-5,-1.3671595001940618e-5
CRUK0046_R4_ROI_2,-3.1084161566810915e-6,4.542480557348647e-5
CRUK0010_R2,-2.933127632221198e-5,3.0730635163591484e-6
CRUK0036_R1_ROI_1,-2.7771182794021827e-5,2.0530970717809715e-6
CRUK0001_R1_ROI_1,-2.023567786736212e-5,-1.1776960365270135e-7
CRUK0052_R1_ROI_1,3.6576371675156625e-5,1.8266652822889064e-5
CRUK0002_R3_ROI_2,1.3647803669352132e-5,-2.7654402974492584e-6
CRUK0015_R2,-1.0687416447653617e-5,-2.6110058488257586e-6
CRUK0024_R2,-1.923335761315285e-5,-1.5236625903332777e-5
CRUK0057_R2_ROI_2,-2.4703432334503284e-5,-1.6283525963660032e-5
CRUK0052_R1_ROI_2,-1.3031722682957588e-6,2.747415680473732e-6
CRUK0002_R2_ROI_1,1.0237704410928825e-5,3.48944217796643e-6
CRUK0004_R3_ROI_2,-3.5369546289425825e-5,-1.4785877594427597e-5
CRUK0036_R3_ROI_1,4.8117794822106505e-6,-4.29746725625858e-6
CRUK0002_R3_ROI_1,4.537768874976824e-6,1.5659733516800994e-5
CRUK0009_R4_ROI_2,-1.3225516712694426e-6,1.5051396787735898e-5
CRUK0003_R6,-2.5104864222449587e-5,1.847088023091507e-5
CRUK0046_R4_ROI_1,1.6467206935917946e-5,5.600506026392662e-6
CRUK0051_R4_ROI_2,-1.0214703735266347e-5,-1.124974238226136e-5
CRUK0006_R2_ROI_1,-3.1347312830645255e-5,-4.7502635044681547e-7
CRUK0024_R1,1.0825304032950988e-5,-1.2683232713618567e-5
