ROI,ECM_cancer_dim1_umap_coord1,ECM_cancer_dim1_umap_coord2
CRUK0052_R4,0.14478527385962092,1.084485007864281
CRUK0037_R5_ROI_2,1.3404601937436451,1.5572759091504988
CRUK0001_R3_ROI_1,0.6783326430079976,-0.3445420289513049
CRUK0009_R3_ROI_1,0.15821467091319386,1.614309532784975
CRUK0002_R1_ROI_1,0.9861440567981655,2.017559427565157
CRUK0001_R2_ROI_2,-0.6148663831112766,-0.6307536153406315
CRUK0024_R7_ROI_1,-1.2477272683271732,-3.461328450679512
CRUK0004_R3_ROI_1,-3.841310495531131,-4.133784572871205
CRUK0009_R3_ROI_2,0.3138107894524142,1.777066536979681
CRUK0036_R2_ROI_2,0.13520083789621046,-0.3515092671352383
CRUK0036_R2_ROI_1,-2.7106343529418973,-4.575993021562154
CRUK0001_R2_ROI_1,-3.194924730425218,-5.1336208750838095
CRUK0002_R1_ROI_2,-1.9807721501049131,-3.19623846645418
CRUK0034_R1_ROI_2,1.2524891468810107,-0.330650486035939
CRUK0024_R8,1.3472992691906223,1.3486407906968416
CRUK0041_R2_ROI_1,-2.7625938407286177,-5.113629214014685
CRUK0012_R1_ROI_2,-0.7418218814311983,-1.8674809193423114
CRUK0034_R1_ROI_1,1.3444692735649422,0.761008013137993
CRUK0037_R4_ROI_1,-3.556328515192816,-4.958580060120812
CRUK0001_R1_ROI_2,0.19197758434117485,2.222266373168078
CRUK0012_R1_ROI_1,1.0959348313026274,-0.6009883547486393
CRUK0052_R3,-4.180479252972671,-3.8605526911253287
CRUK0057_R2_ROI_1,-1.2822460154261535,-3.2942242723138886
CRUK0009_R4_ROI_1,-3.472794931213793,-4.837502301848123
CRUK0051_R4_ROI_1,0.39072398239133543,0.3805023788471292
CRUK0024_R7_ROI_2,0.7705140706448785,1.6642046187258897
CRUK0001_R3_ROI_2,-0.6577621829889949,-0.7391807404486809
CRUK0046_R3_ROI_1,-0.9632435726755184,-2.2086123802992113
CRUK0009_R2,-3.1893281648365917,-4.506994120120658
CRUK0048_R2,-1.430218192898515,-3.6018759426141513
CRUK0034_R3,0.1721247289547539,1.3226148671042426
CRUK0036_R1_ROI_2,-0.9717412564808723,-2.8023164104576526
CRUK0002_R2_ROI_2,1.4745333096916406,-0.05482340445632096
CRUK0015_R1,-3.8002755288895798,-3.6392061303369476
CRUK0046_R3_ROI_2,-0.6936778984196059,-1.4322371806059442
CRUK0041_R2_ROI_2,-0.00949251996461049,-0.6164484996562746
CRUK0010_R1_ROI_2,-2.2762674813215504,-3.418492628199515
CRUK0036_R3_ROI_2,-4.255900730671655,-4.613788005161718
CRUK0010_R1_ROI_1,-4.466820681848068,-4.086696120428905
CRUK0046_R4_ROI_2,-0.8983588036011997,-2.870476458633865
CRUK0010_R2,-3.3668633444752527,-3.4009377493038526
CRUK0036_R1_ROI_1,-4.0713206034028,-3.4524157768927592
CRUK0001_R1_ROI_1,-3.1866900703666365,-3.6929767376909917
CRUK0052_R1_ROI_1,1.4279608201989045,-0.4079602499399972
CRUK0002_R3_ROI_2,0.624046175831452,-0.05025000456481049
CRUK0015_R2,-2.534466877259603,-4.102956975886838
CRUK0024_R2,-3.706350289983418,-4.6606699524438095
CRUK0057_R2_ROI_2,-4.574234657949796,-4.189668341486259
CRUK0052_R1_ROI_2,-2.208695136456113,-3.7964454010024373
CRUK0002_R2_ROI_1,0.4417661497119511,-0.5506867282727675
CRUK0004_R3_ROI_2,-4.4547627105513,-3.9282193105274863
CRUK0036_R3_ROI_1,0.33604835883766626,2.0344051561887997
CRUK0002_R3_ROI_1,-0.5382778679061047,-2.1598423972816563
CRUK0009_R4_ROI_2,-1.1422781837309737,-2.625422173400414
CRUK0003_R6,-2.6614158306332545,-3.291550323018253
CRUK0046_R4_ROI_1,-0.3929127653124592,-1.9343117208248828
CRUK0051_R4_ROI_2,-2.911868323354089,-5.298120413265526
CRUK0006_R2_ROI_1,-4.08058498041645,-3.944091924913071
CRUK0024_R1,0.6333163146688259,2.1852869082060176
