ROI,ECM_dim0_PCA_coord1,ECM_dim0_PCA_coord2
CRUK0037_R5_ROI_1,4.83484053079119e-5,8.585258950266796e-5
CRUK0052_R4,-0.0002719212781345153,-7.165157301976296e-6
CRUK0037_R5_ROI_2,-3.2949650385312656e-5,-4.477645306395647e-5
CRUK0001_R3_ROI_1,-4.137733411885146e-6,2.059525753202105e-5
CRUK0009_R3_ROI_1,-0.00020592539468577945,-5.037331820530675e-5
CRUK0002_R1_ROI_1,-0.0001376917409352522,-1.8517808405859233e-6
CRUK0001_R2_ROI_2,0.00013396123543033174,8.985651852298769e-5
CRUK0024_R7_ROI_1,-0.0001668659949815594,-1.8362815084955447e-5
CRUK0004_R3_ROI_1,-0.00017801053657245315,7.287333681930657e-5
CRUK0009_R3_ROI_2,-7.253789172400783e-5,-7.401364009618822e-5
CRUK0036_R2_ROI_2,-0.0003148970049696715,-4.414616349366656e-5
CRUK0006_R2_ROI_2,0.0001967566177508122,5.976891981820669e-5
CRUK0001_R2_ROI_1,0.0001227339311835836,7.296204296505169e-5
CRUK0036_R2_ROI_1,-0.0001514720521880144,-5.0752379369722544e-5
CRUK0002_R1_ROI_2,-0.00010068659226989217,2.8996500186243805e-5
CRUK0047_R1,-0.0003205815194970879,-9.609259675775813e-5
CRUK0034_R1_ROI_2,0.00012499511936326263,1.6415759776650504e-5
CRUK0024_R8,2.0521590668701564e-5,5.2667428220862526e-5
CRUK0041_R2_ROI_1,0.0002574335793675542,-8.977535245450672e-5
CRUK0012_R1_ROI_2,0.0001348806533042601,6.567320011278216e-5
CRUK0034_R1_ROI_1,0.00010425286264726417,1.8959300913954937e-5
CRUK0037_R4_ROI_1,-0.00021604625737984726,-3.4731927680714083e-5
CRUK0001_R1_ROI_2,0.00021997343489441634,1.4555737745300565e-5
CRUK0012_R1_ROI_1,0.0002312609143481842,-3.248907919339066e-5
CRUK0052_R3,3.283889198555728e-5,-7.826770959135855e-5
CRUK0057_R2_ROI_1,0.00021247072155484807,4.0773930172661617e-5
CRUK0009_R4_ROI_1,0.0002502000007759727,-4.374213164680257e-5
CRUK0051_R4_ROI_1,0.00022410646423418843,-4.2595106486359e-5
CRUK0024_R7_ROI_2,9.223497812972079e-5,2.5144495588862806e-5
CRUK0001_R3_ROI_2,0.0001667395042237044,-5.9247324510238705e-6
CRUK0046_R3_ROI_1,-0.0003171700845663769,1.2858989524584728e-5
CRUK0009_R2,0.00020150210195651224,-6.191279357710732e-5
CRUK0048_R2,4.081098116048834e-5,3.248579813420235e-6
CRUK0034_R3,0.000353271203123097,-0.00011693647681555063
CRUK0036_R1_ROI_2,-0.0003573341761110108,-5.98974109518417e-5
CRUK0002_R2_ROI_2,1.2756891186722117e-5,9.604080605667896e-5
CRUK0015_R1,0.0002360427288317814,-4.874244648000918e-5
CRUK0046_R3_ROI_2,-0.00020877473548526278,-1.049870431098082e-5
CRUK0041_R2_ROI_2,0.0002172325843311904,-7.160958163989037e-5
CRUK0010_R1_ROI_2,-0.00012169731652178732,6.0480477064529574e-5
CRUK0036_R3_ROI_2,-0.00027486006016375737,-6.662615080705678e-5
CRUK0010_R1_ROI_1,8.728105671792653e-5,-5.768443706478916e-5
CRUK0046_R4_ROI_2,-0.0003963911866664252,4.359036614262599e-7
CRUK0010_R2,-0.00013045057384438694,2.3916743081924324e-5
CRUK0036_R1_ROI_1,-0.00038117693687019687,-5.376964683098483e-5
CRUK0001_R1_ROI_1,0.00030342377291915374,1.4433319357280053e-6
CRUK0052_R1_ROI_1,-3.174713277776706e-5,3.76651608314192e-5
CRUK0002_R3_ROI_2,0.00013702564871624255,4.265160940540668e-5
CRUK0015_R2,-0.00013654127985552813,4.192047334249074e-5
CRUK0024_R2,0.00035824975376861544,-8.676913456545146e-5
CRUK0057_R2_ROI_2,7.347990228877772e-5,2.415675197721159e-5
CRUK0052_R1_ROI_2,-4.158674385931565e-5,3.512071991561254e-5
CRUK0002_R2_ROI_1,0.00019373209510033755,8.180261973116697e-5
CRUK0004_R3_ROI_2,-0.00019031200075210984,4.7717862062218136e-5
CRUK0036_R3_ROI_1,-0.00034775210740320016,7.560571000303794e-6
CRUK0002_R3_ROI_1,-6.60136898578801e-5,5.391054067265847e-5
CRUK0009_R4_ROI_2,0.0002573703771391632,-8.877289818491283e-5
CRUK0003_R6,0.00011151084303759184,0.00011213793665311763
CRUK0046_R4_ROI_1,-0.00024327635783018172,3.274982340452347e-5
CRUK0051_R4_ROI_2,5.7753145416149995e-5,-7.502445859744616e-5
CRUK0006_R2_ROI_1,0.00013017976381110878,6.717137027379463e-5
CRUK0024_R1,7.347627502533202e-5,6.521919525851652e-5
