ROI,ECM_dim1_entropy,ECM_dim1_number_of_points
CRUK0037_R5_ROI_1,0.5008970561642535,160
CRUK0052_R4,0.44351457377461967,59
CRUK0037_R5_ROI_2,0.49994606849670586,187
CRUK0001_R3_ROI_1,0.4912115500193463,159
CRUK0009_R3_ROI_1,0.4412571422925552,104
CRUK0002_R1_ROI_1,0.4839937757425854,112
CRUK0001_R2_ROI_2,0.5127192492342075,193
CRUK0024_R7_ROI_1,0.46432555350774557,131
CRUK0004_R3_ROI_1,0.4424445339846553,73
CRUK0009_R3_ROI_2,0.5185315260239035,200
CRUK0036_R2_ROI_2,0.34589118373260014,49
CRUK0006_R2_ROI_2,0.5521520569376517,261
CRUK0001_R2_ROI_1,0.5248797903109799,204
CRUK0036_R2_ROI_1,0.4760841073783872,133
CRUK0002_R1_ROI_2,0.4924467189182643,140
CRUK0047_R1,0.49429801728750095,85
CRUK0034_R1_ROI_2,0.5276164527506175,235
CRUK0024_R8,0.49926473669084764,147
CRUK0041_R2_ROI_1,0.5711322452322599,432
CRUK0012_R1_ROI_2,0.528037346134528,209
CRUK0034_R1_ROI_1,0.5193433662258412,220
CRUK0037_R4_ROI_1,0.38592772283675575,71
CRUK0001_R1_ROI_2,0.5538490661631879,309
CRUK0012_R1_ROI_1,0.5411048141592009,334
CRUK0052_R3,0.5868905940001823,313
CRUK0057_R2_ROI_1,0.5617039142550877,302
CRUK0009_R4_ROI_1,0.5818825982497992,432
CRUK0051_R4_ROI_1,0.5513697294602266,359
CRUK0024_R7_ROI_2,0.5169340838509846,198
CRUK0001_R3_ROI_2,0.5421085151586081,283
CRUK0046_R3_ROI_1,0.42108107757080615,48
CRUK0009_R2,0.5755006105507574,410
CRUK0048_R2,0.5181242606588627,213
CRUK0034_R3,0.5829135391465666,470
CRUK0036_R1_ROI_2,0.31916318986995573,30
CRUK0002_R2_ROI_2,0.5031517569274763,144
CRUK0015_R1,0.5804486716036898,382
CRUK0046_R3_ROI_2,0.44692578450027504,92
CRUK0041_R2_ROI_2,0.5722567027817199,386
CRUK0010_R1_ROI_2,0.4555230988159298,88
CRUK0036_R3_ROI_2,0.4580082074942431,117
CRUK0010_R1_ROI_1,0.5723038365834188,325
CRUK0046_R4_ROI_2,0.3131280739643137,22
CRUK0010_R2,0.49547094532545566,153
CRUK0036_R1_ROI_1,0.27569600795150756,24
CRUK0001_R1_ROI_1,0.5641769351846895,376
CRUK0052_R1_ROI_1,0.48697982606396123,144
CRUK0002_R3_ROI_2,0.5461296293190538,258
CRUK0015_R2,0.45814226828925203,111
CRUK0024_R2,0.585478516676341,494
CRUK0057_R2_ROI_2,0.5220261324885055,210
CRUK0052_R1_ROI_2,0.5135993688553472,159
CRUK0002_R2_ROI_1,0.5451673946303222,255
CRUK0004_R3_ROI_2,0.44521248868757457,87
CRUK0036_R3_ROI_1,0.3255513524795778,32
CRUK0002_R3_ROI_1,0.48408918425039715,146
CRUK0009_R4_ROI_2,0.5778804658790184,407
CRUK0003_R6,0.5098659854280291,178
CRUK0046_R4_ROI_1,0.4041784956237172,65
CRUK0051_R4_ROI_2,0.5331116822404902,251
CRUK0006_R2_ROI_1,0.5024352210788964,180
CRUK0024_R1,0.5209095582013088,198
