ROI,ECM_leukocytes_dim0_entropy,ECM_leukocytes_dim0_number_of_points
CRUK0052_R4,0.37719215805178163,38
CRUK0037_R5_ROI_2,0.4049155332085265,53
CRUK0001_R3_ROI_1,0.39826362179488795,50
CRUK0009_R3_ROI_1,0.3484276600941746,33
CRUK0002_R1_ROI_1,0.3756755329630747,40
CRUK0001_R2_ROI_2,0.4287318561217338,60
CRUK0024_R7_ROI_1,0.3960267122788679,49
CRUK0004_R3_ROI_1,0.42030016071489523,57
CRUK0009_R3_ROI_2,0.42843908802640646,57
CRUK0006_R2_ROI_2,0.4362269894881678,74
CRUK0001_R2_ROI_1,0.4250081235247306,59
CRUK0036_R2_ROI_1,0.31530016457065385,24
CRUK0002_R1_ROI_2,0.36028052082268525,36
CRUK0034_R1_ROI_2,0.47302563920520585,100
CRUK0024_R8,0.3555471638027429,28
CRUK0041_R2_ROI_1,0.3609528261365334,29
CRUK0012_R1_ROI_2,0.43420998340693573,75
CRUK0034_R1_ROI_1,0.47669593114134484,117
CRUK0001_R1_ROI_2,0.4612632780365622,84
CRUK0012_R1_ROI_1,0.4666014224330165,99
CRUK0052_R3,0.40241161493593736,47
CRUK0057_R2_ROI_1,0.4696296550135743,97
CRUK0009_R4_ROI_1,0.4291676917030214,64
CRUK0051_R4_ROI_1,0.45671156748349734,84
CRUK0024_R7_ROI_2,0.44213069165406,73
CRUK0001_R3_ROI_2,0.37879865620334924,37
CRUK0046_R3_ROI_1,0.4206664082384441,63
CRUK0009_R2,0.429950777801308,58
CRUK0048_R2,0.38416783680680117,46
CRUK0034_R3,0.4857197401858142,115
CRUK0036_R1_ROI_2,0.32988526549230224,26
CRUK0002_R2_ROI_2,0.3501512609087743,32
CRUK0015_R1,0.4532091286585071,80
CRUK0046_R3_ROI_2,0.404493232480477,48
CRUK0041_R2_ROI_2,0.3764320808544397,36
CRUK0010_R1_ROI_2,0.353907935390574,27
CRUK0036_R3_ROI_2,0.32692027509337296,23
CRUK0010_R1_ROI_1,0.3346612226468698,20
CRUK0046_R4_ROI_2,0.3835254384049759,47
CRUK0010_R2,0.3570778005800577,30
CRUK0036_R1_ROI_1,0.36142162015067386,34
CRUK0001_R1_ROI_1,0.44322292457825396,75
CRUK0052_R1_ROI_1,0.4034870301542777,58
CRUK0024_R2,0.41459391603729595,56
CRUK0015_R2,0.4068383408327338,51
CRUK0057_R2_ROI_2,0.4596263969255509,99
CRUK0052_R1_ROI_2,0.3879601694583937,40
CRUK0002_R2_ROI_1,0.38559681808325913,41
CRUK0004_R3_ROI_2,0.3785727926130427,35
CRUK0036_R3_ROI_1,0.3443828375195048,32
CRUK0002_R3_ROI_1,0.32499511726981356,20
CRUK0009_R4_ROI_2,0.45718719259317614,91
CRUK0003_R6,0.41626798913930785,55
CRUK0046_R4_ROI_1,0.413795425298253,71
CRUK0051_R4_ROI_2,0.43104846992252005,71
CRUK0006_R2_ROI_1,0.4407149994923893,72
CRUK0024_R1,0.45596971747942355,82
