ROI,ECM_leukocytes_dim1_PCA_coord1,ECM_leukocytes_dim1_PCA_coord2
CRUK0052_R4,8.545520670873867e-6,2.8737938210062408e-6
CRUK0037_R5_ROI_2,1.0017326740365696e-5,1.568266061287172e-5
CRUK0001_R3_ROI_1,5.677779625734956e-6,2.7821994498933152e-5
CRUK0009_R3_ROI_1,3.107951840298979e-5,-1.4437955950631048e-5
CRUK0002_R1_ROI_1,1.9847647201058647e-5,-5.82353787203291e-6
CRUK0001_R2_ROI_2,-2.237811287786773e-5,2.680582172653373e-5
CRUK0024_R7_ROI_1,2.1052312687922702e-5,1.095529395837633e-7
CRUK0004_R3_ROI_1,-1.212263649293822e-5,1.7976617419389787e-5
CRUK0009_R3_ROI_2,-3.2760531496432754e-6,-4.268058196002687e-6
CRUK0006_R2_ROI_2,-2.223523399802887e-5,-2.0981570146257074e-5
CRUK0001_R2_ROI_1,-9.560118759684146e-6,2.886207172525964e-5
CRUK0036_R2_ROI_1,3.1391586058253445e-5,-2.285787932322951e-6
CRUK0002_R1_ROI_2,2.7296447069429495e-5,-6.641420547897231e-6
CRUK0034_R1_ROI_2,-5.895049830162823e-5,-1.3879675148248508e-6
CRUK0024_R8,3.291416404154938e-5,-2.4998059467706348e-6
CRUK0041_R2_ROI_1,1.79627017804903e-5,1.088515179783949e-5
CRUK0012_R1_ROI_2,-1.305334708795707e-5,-1.7674060054745943e-5
CRUK0034_R1_ROI_1,-6.616018260728326e-5,-2.5023900464569504e-5
CRUK0001_R1_ROI_2,-3.513535251490927e-5,-9.758171360831087e-6
CRUK0012_R1_ROI_1,-6.081266107883594e-5,3.467333421298481e-6
CRUK0052_R3,1.4497748937542414e-5,-7.2118406355351345e-6
CRUK0057_R2_ROI_1,-5.371535612289516e-5,-8.090770817405183e-6
CRUK0009_R4_ROI_1,3.426480611267872e-6,-2.155600289037946e-5
CRUK0051_R4_ROI_1,-1.2892489712794553e-5,5.067584526366366e-6
CRUK0024_R7_ROI_2,-3.596268335364548e-5,1.9175877688590204e-5
CRUK0001_R3_ROI_2,1.7878766157132563e-5,4.909151902641822e-6
CRUK0046_R3_ROI_1,-3.6166642158936138e-6,1.877821912559369e-6
CRUK0009_R2,3.457645210179473e-7,-3.1359238549585773e-6
CRUK0048_R2,1.2366030463816833e-5,-2.900063645785421e-6
CRUK0034_R3,-7.06153904971376e-5,-3.409269670402327e-5
CRUK0036_R1_ROI_2,2.9109622601203783e-5,-5.656803847633977e-6
CRUK0002_R2_ROI_2,2.847798210947465e-5,-4.255664914976742e-7
CRUK0015_R1,-3.172095076123529e-5,3.6506385524814386e-6
CRUK0046_R3_ROI_2,-1.764705740885998e-6,-4.622826028671858e-6
CRUK0041_R2_ROI_2,1.9239843379363312e-5,8.777177199483254e-6
CRUK0010_R1_ROI_2,2.8870952033957365e-5,1.9912177603299678e-6
CRUK0036_R3_ROI_2,3.165731787123183e-5,-1.2708295998188805e-5
CRUK0010_R1_ROI_1,2.4408938199545262e-5,-6.747800688062385e-6
CRUK0046_R4_ROI_2,3.348102592610834e-5,-1.1178308787191268e-5
CRUK0010_R2,1.7497722265928837e-5,-1.0099704327800724e-5
CRUK0036_R1_ROI_1,3.6043071693134916e-5,-1.1654948020926717e-5
CRUK0001_R1_ROI_1,-3.1349901264437166e-5,2.026238776131407e-5
CRUK0052_R1_ROI_1,8.032870381728539e-6,-1.526951512184256e-5
CRUK0024_R2,6.008995353200715e-7,2.5116680948211526e-5
CRUK0015_R2,2.1806849849817466e-6,-4.6932357164557035e-6
CRUK0057_R2_ROI_2,-8.751818672244096e-6,5.18394837458622e-6
CRUK0052_R1_ROI_2,1.560301331131093e-5,3.1449928610213234e-6
CRUK0002_R2_ROI_1,1.7643909199205097e-5,1.3268152110545733e-5
CRUK0004_R3_ROI_2,2.0244037263940632e-5,-2.7801729082829493e-6
CRUK0036_R3_ROI_1,3.018960899830205e-5,-1.463821890547305e-6
CRUK0002_R3_ROI_1,3.388976748001674e-5,-3.8107818908110376e-6
CRUK0009_R4_ROI_2,-3.6302375543006156e-5,1.2349039392163124e-5
CRUK0003_R6,-9.17608715390444e-6,1.2683852221640222e-5
CRUK0046_R4_ROI_1,2.3124106307602394e-5,-1.0750836467336284e-5
CRUK0051_R4_ROI_2,1.6685426782059277e-6,1.8477463250848573e-5
CRUK0006_R2_ROI_1,-3.269811652155873e-5,-3.113032307720941e-6
CRUK0024_R1,-2.4012974761594056e-5,2.3242006024439033e-6
