ROI,cancer_dim0_entropy,cancer_dim0_number_of_points
CRUK0037_R5_ROI_1,0.1417519794544205,5
CRUK0052_R4,0.6545536260175779,2338
CRUK0037_R5_ROI_2,0.549845355797609,475
CRUK0001_R3_ROI_1,0.4635547776637791,137
CRUK0009_R3_ROI_1,0.6431240587627823,1889
CRUK0037_R4_ROI_2,0.42893822556364114,105
CRUK0002_R1_ROI_1,0.5916162713327315,855
CRUK0006_R1_ROI_1,0.2628265115851403,23
CRUK0001_R2_ROI_2,0.4001418414622765,70
CRUK0024_R7_ROI_1,0.593023943574421,823
CRUK0004_R3_ROI_1,0.4780284623879049,184
CRUK0009_R3_ROI_2,0.6408360991351995,1808
CRUK0036_R2_ROI_2,0.5764601982840823,698
CRUK0037_R2_ROI_2,0.1843641693231335,7
CRUK0006_R2_ROI_2,0.2403763470968847,11
CRUK0001_R2_ROI_1,0.43376840372556064,109
CRUK0036_R2_ROI_1,0.5892923315176849,828
CRUK0002_R1_ROI_2,0.5496861456028936,467
CRUK0034_R1_ROI_2,0.4589775158160402,139
CRUK0047_R1,0.21625024193054587,12
CRUK0006_R1_ROI_2,0.2601714554718874,16
CRUK0024_R8,0.46419111097207577,154
CRUK0041_R2_ROI_1,0.5070690940249609,262
CRUK0012_R1_ROI_2,0.5387363735671156,408
CRUK0034_R1_ROI_1,0.4937818406696234,215
CRUK0037_R4_ROI_1,0.5753395101519297,603
CRUK0001_R1_ROI_2,0.5619053211945295,568
CRUK0012_R1_ROI_1,0.5020891599289014,239
CRUK0052_R3,0.6177358836355124,1243
CRUK0057_R2_ROI_1,0.4240977237083201,94
CRUK0009_R4_ROI_1,0.5875299228101392,794
CRUK0051_R4_ROI_1,0.4503392410781187,126
CRUK0024_R7_ROI_2,0.558629405525085,534
CRUK0001_R3_ROI_2,0.40772399843085383,78
CRUK0046_R3_ROI_1,0.6490768780667335,2127
CRUK0009_R2,0.6234963791068286,1323
CRUK0048_R2,0.5088547362049283,265
CRUK0034_R3,0.6189640982304981,1231
CRUK0036_R1_ROI_2,0.5736907205807478,652
CRUK0002_R2_ROI_2,0.5140001844334321,277
CRUK0015_R1,0.5727274145073591,691
CRUK0046_R3_ROI_2,0.6128971294116409,1190
CRUK0041_R2_ROI_2,0.4509375353744446,131
CRUK0005_R3,0.2154468112201222,10
CRUK0010_R1_ROI_2,0.42615915709127916,85
CRUK0036_R3_ROI_2,0.5160027434953759,289
CRUK0010_R1_ROI_1,0.42921537817569666,94
CRUK0046_R4_ROI_2,0.612972082917989,1211
CRUK0010_R2,0.5747751482364276,653
CRUK0036_R1_ROI_1,0.5983362030196404,936
CRUK0001_R1_ROI_1,0.3714635571538377,54
CRUK0052_R1_ROI_1,0.5812111920897486,738
CRUK0002_R3_ROI_2,0.4277371162148487,95
CRUK0015_R2,0.5943294412009176,895
CRUK0024_R2,0.4731746704695984,190
CRUK0057_R2_ROI_2,0.4362747148275036,124
CRUK0005_R1,0.17129759308381973,8
CRUK0052_R1_ROI_2,0.5970914025086662,905
CRUK0038_R1,0.37665796921856665,54
CRUK0002_R2_ROI_1,0.44088297994812764,121
CRUK0005_R4,0.27418122858098787,17
CRUK0004_R3_ROI_2,0.48383942475663594,205
CRUK0036_R3_ROI_1,0.5490973713151256,482
CRUK0002_R3_ROI_1,0.5194525619880103,291
CRUK0009_R4_ROI_2,0.565955791355738,529
CRUK0003_R6,0.35133477207008307,39
CRUK0037_R2_ROI_1,0.2827742480877165,20
CRUK0046_R4_ROI_1,0.6476063324527018,2042
CRUK0051_R4_ROI_2,0.4735590266013714,178
CRUK0006_R2_ROI_1,0.3235749894093936,27
CRUK0024_R1,0.604650502940198,960
