ROI,cancer_leukocytes_dim0_PCA_coord1,cancer_leukocytes_dim0_PCA_coord2
CRUK0052_R4,-8.699464866173948e-5,-3.2705646036963086e-6
CRUK0037_R5_ROI_2,2.7618431090956693e-5,-5.1236887896372984e-5
CRUK0001_R3_ROI_1,1.9016459737485906e-5,-6.962029193183206e-5
CRUK0009_R3_ROI_1,1.2943783421889882e-5,-0.00010180172489756641
CRUK0037_R4_ROI_2,8.779936676739294e-5,-4.6640738378795546e-5
CRUK0002_R1_ROI_1,-6.764401931664468e-5,5.672972135465591e-5
CRUK0006_R1_ROI_1,0.00011627632691195768,7.445845935680091e-5
CRUK0001_R2_ROI_2,5.782289536024288e-5,-1.1228574737673588e-6
CRUK0024_R7_ROI_1,-0.0001498384513498934,-1.5975090506133423e-5
CRUK0004_R3_ROI_1,-1.4871157473768716e-5,3.106720924221409e-6
CRUK0009_R3_ROI_2,-0.00016196430350666466,-5.566349543162056e-6
CRUK0036_R2_ROI_1,0.00010989024798819396,4.231679432206751e-7
CRUK0001_R2_ROI_1,3.0135959776009962e-5,-4.357997693612433e-5
CRUK0002_R1_ROI_2,5.767170522400476e-5,-4.818732262093039e-5
CRUK0034_R1_ROI_2,-0.0001761309350987473,-9.702395732122693e-5
CRUK0024_R8,0.0001076665943801175,2.9447747291692615e-5
CRUK0041_R2_ROI_1,3.5202182576384335e-5,-3.279708065203947e-5
CRUK0012_R1_ROI_2,7.3849607121881805e-6,1.623651028559007e-5
CRUK0034_R1_ROI_1,-0.00018600110588565792,1.4075870454853221e-5
CRUK0001_R1_ROI_2,-5.473220209259496e-5,8.334402490522225e-5
CRUK0012_R1_ROI_1,-5.929654581132711e-5,-0.00011674330928092643
CRUK0052_R3,9.476694267412924e-7,-7.776758914595898e-5
CRUK0057_R2_ROI_1,-4.210245389016766e-5,-7.350938568840671e-5
CRUK0009_R4_ROI_1,-1.799799317476045e-5,0.00014224319706747108
CRUK0051_R4_ROI_1,-6.996806993791939e-5,-6.631629151623768e-6
CRUK0024_R7_ROI_2,-0.00010482471651427915,-1.0675842901149185e-5
CRUK0001_R3_ROI_2,6.81546026856663e-5,-6.127332949904265e-7
CRUK0046_R3_ROI_1,-0.00017455288141936948,1.2061017841886236e-5
CRUK0009_R2,-2.0706583562784918e-6,9.098597754438722e-5
CRUK0048_R2,7.183497233152723e-5,-2.1753337282462267e-5
CRUK0034_R3,-0.0002620223607393171,9.926547530550537e-7
CRUK0036_R1_ROI_2,9.701299192378092e-5,-3.729014336772365e-5
CRUK0002_R2_ROI_2,0.00010557819207227067,-1.215428107573588e-6
CRUK0015_R1,4.199575241096033e-5,-1.3397210450731517e-5
CRUK0046_R3_ROI_2,-6.224930908827659e-5,5.771518810761769e-5
CRUK0041_R2_ROI_2,0.00012982213590914551,5.944320337003888e-6
CRUK0010_R1_ROI_2,0.00013186052754190556,2.5305944497143347e-5
CRUK0036_R3_ROI_2,1.7238715325317507e-5,-3.390572171131031e-5
CRUK0010_R1_ROI_1,0.00013199633358559394,3.871916139601263e-5
CRUK0046_R4_ROI_2,-0.00011704464083230816,-5.5080183334978995e-5
CRUK0010_R2,7.054770093094987e-5,-7.077625322568823e-6
CRUK0036_R1_ROI_1,6.40009955695365e-5,1.0849941024536916e-6
CRUK0001_R1_ROI_1,6.946194758254359e-5,3.992366199396964e-5
CRUK0052_R1_ROI_1,-3.356361075593909e-5,1.0749060868900477e-5
CRUK0024_R2,7.628012828424142e-5,3.44664248138288e-5
CRUK0015_R2,-9.258161036648282e-5,8.009579736821782e-5
CRUK0057_R2_ROI_2,-7.908038324028558e-6,8.291233447571206e-5
CRUK0052_R1_ROI_2,-5.638807126173274e-5,4.9517284930701856e-5
CRUK0038_R1,-6.089058874406788e-7,-5.094315353332492e-6
CRUK0002_R2_ROI_1,8.813302802108254e-5,-2.076643456964147e-6
CRUK0004_R3_ROI_2,7.693241894442006e-5,2.7185935428212586e-5
CRUK0036_R3_ROI_1,9.331976137973509e-7,-1.522194708652135e-5
CRUK0002_R3_ROI_1,0.0001257118954963912,-4.1774019715101246e-5
CRUK0009_R4_ROI_2,2.62618628251488e-5,-2.6914771027036075e-5
CRUK0003_R6,0.00015451032146242733,-2.9883214098393583e-6
CRUK0046_R4_ROI_1,-0.00021414923785857546,-4.452116508392894e-5
CRUK0051_R4_ROI_2,1.4012425505337678e-5,-2.088788565494839e-5
CRUK0006_R2_ROI_1,0.0001333830502688997,1.6291215256519495e-5
CRUK0024_R1,-0.00015053385206059616,0.00013794565729037368
