ROI,cancer_leukocytes_dim0_entropy,cancer_leukocytes_dim0_number_of_points
CRUK0052_R4,0.3984145213973526,48
CRUK0037_R5_ROI_2,0.33229827998929073,19
CRUK0001_R3_ROI_1,0.3533298866137415,29
CRUK0009_R3_ROI_1,0.363061142358241,32
CRUK0037_R4_ROI_2,0.3188344986484084,22
CRUK0002_R1_ROI_1,0.39555516519105255,45
CRUK0006_R1_ROI_1,0.17377281487230187,6
CRUK0001_R2_ROI_2,0.35889746135928796,29
CRUK0024_R7_ROI_1,0.41734310789665285,57
CRUK0004_R3_ROI_1,0.3542859652755621,25
CRUK0009_R3_ROI_2,0.42028776686242053,52
CRUK0036_R2_ROI_1,0.325723923018679,24
CRUK0001_R2_ROI_1,0.3423179331734505,29
CRUK0002_R1_ROI_2,0.33654330328484705,20
CRUK0034_R1_ROI_2,0.4138478291148092,56
CRUK0024_R8,0.2842590117467747,17
CRUK0041_R2_ROI_1,0.3308844558141469,20
CRUK0012_R1_ROI_2,0.4006890038761946,60
CRUK0034_R1_ROI_1,0.44179756168270673,66
CRUK0001_R1_ROI_2,0.3793306803059485,54
CRUK0012_R1_ROI_1,0.3912002272474679,44
CRUK0052_R3,0.3569616366271298,32
CRUK0057_R2_ROI_1,0.37735280328263515,44
CRUK0009_R4_ROI_1,0.4027682807747304,56
CRUK0051_R4_ROI_1,0.37403463457841674,44
CRUK0024_R7_ROI_2,0.41615144344090726,52
CRUK0001_R3_ROI_2,0.3473407387121415,26
CRUK0046_R3_ROI_1,0.4282913605751232,65
CRUK0009_R2,0.39375247481576653,36
CRUK0048_R2,0.32745735456148123,23
CRUK0034_R3,0.4474881002710184,86
CRUK0036_R1_ROI_2,0.32242278640885863,22
CRUK0002_R2_ROI_2,0.3412726251196471,27
CRUK0015_R1,0.3562266818204172,38
CRUK0046_R3_ROI_2,0.40077562651327986,47
CRUK0041_R2_ROI_2,0.3136284435419714,21
CRUK0010_R1_ROI_2,0.30323794320763,18
CRUK0036_R3_ROI_2,0.34190054262733066,25
CRUK0010_R1_ROI_1,0.24187454093829805,11
CRUK0046_R4_ROI_2,0.4084005032062675,59
CRUK0010_R2,0.3127883343089782,19
CRUK0036_R1_ROI_1,0.3269460006371298,21
CRUK0001_R1_ROI_1,0.33821814364741354,29
CRUK0052_R1_ROI_1,0.3947425758703502,42
CRUK0024_R2,0.28882344218969025,14
CRUK0015_R2,0.42039096546643495,65
CRUK0057_R2_ROI_2,0.3697306045462369,41
CRUK0052_R1_ROI_2,0.3930989036768868,35
CRUK0038_R1,0.3587117625385552,30
CRUK0002_R2_ROI_1,0.3184836117883095,21
CRUK0004_R3_ROI_2,0.3373090914143485,24
CRUK0036_R3_ROI_1,0.3574809160614583,31
CRUK0002_R3_ROI_1,0.3001807726598278,17
CRUK0009_R4_ROI_2,0.36047167866420843,29
CRUK0003_R6,0.30565034253430995,19
CRUK0046_R4_ROI_1,0.426243150753017,65
CRUK0051_R4_ROI_2,0.37204003030498456,39
CRUK0006_R2_ROI_1,0.28163180457918696,14
CRUK0024_R1,0.46498927693867287,81
