ROI,leukocytes_dim0_PCA_coord1,leukocytes_dim0_PCA_coord2
CRUK0037_R5_ROI_1,-0.0008509337022581724,-0.00039752641937297834
CRUK0052_R4,-0.0005419560368844974,6.270246759855447e-6
CRUK0037_R5_ROI_2,-0.0005927030334501218,-8.180337498253365e-5
CRUK0001_R3_ROI_1,-0.0007015033238654042,-9.956249764796555e-5
CRUK0009_R3_ROI_1,-0.000680014954339144,-0.0003246980767427146
CRUK0037_R4_ROI_2,-0.0006937455668223469,-0.00018579167105688246
CRUK0002_R1_ROI_1,-0.00043468197887972453,0.00020511904749074227
CRUK0006_R1_ROI_1,0.0009204468354662706,0.0001755396306211189
CRUK0001_R2_ROI_2,-0.0004903681622378803,0.000150481695026989
CRUK0024_R7_ROI_1,-0.0003118226649155636,0.0003171252022697375
CRUK0004_R3_ROI_1,-0.0005094989676637107,0.00021514849524721823
CRUK0009_R3_ROI_2,-0.00035126639036625227,0.00021502931056758238
CRUK0036_R2_ROI_2,-0.0008516562160384221,-0.00034316528292891514
CRUK0037_R2_ROI_2,-0.0002961465511961683,0.0001534697539152809
CRUK0006_R2_ROI_2,0.0010736685114162705,9.850064698751593e-5
CRUK0001_R2_ROI_1,-0.0004953798100254535,0.0002203063640871006
CRUK0036_R2_ROI_1,-0.0007792577317540523,-0.0003124363513304416
CRUK0002_R1_ROI_2,-0.0007163127450052775,-0.0001536777881322233
CRUK0034_R1_ROI_2,0.0034174473892069,-0.0005098000214871796
CRUK0047_R1,-0.0007795404631610137,-0.0003989782667988075
CRUK0006_R1_ROI_2,0.00016512819430395943,0.0005177995186562015
CRUK0024_R8,-0.0008357086050881076,-0.0002833153972307927
CRUK0041_R2_ROI_1,-0.0008332626013997921,-0.0002666445895620191
CRUK0012_R1_ROI_2,0.0016449884167063643,0.0001677653112216085
CRUK0034_R1_ROI_1,0.003981076794456266,-0.0010431813068136322
CRUK0037_R4_ROI_1,-0.0008272661879520834,-0.00034861554196695854
CRUK0001_R1_ROI_2,0.0006889876063380781,0.00044510893247734967
CRUK0012_R1_ROI_1,0.0003642001292435186,0.0007349211649216123
CRUK0052_R3,-0.0005382203124628735,4.2637524148153596e-5
CRUK0057_R2_ROI_1,0.0014544368328488037,0.0003416193336038307
CRUK0009_R4_ROI_1,0.0009259813406932863,-8.698731884558879e-5
CRUK0051_R4_ROI_1,0.0008964128978500746,0.0005737563352990308
CRUK0024_R7_ROI_2,-0.0004313487986517292,0.0005466999068879006
CRUK0001_R3_ROI_2,-0.0007839906514289148,-7.318485789248972e-5
CRUK0046_R3_ROI_1,0.0020298530908046874,-5.699085262567398e-5
CRUK0009_R2,0.0006181344720751371,0.00033347225309886
CRUK0048_R2,-0.000597571504254017,-1.985576727789615e-5
CRUK0034_R3,0.002766128658466736,-0.00022621658886612538
CRUK0036_R1_ROI_2,-0.0007594902013257282,-0.00025141239552073065
CRUK0002_R2_ROI_2,-0.0007556367759142733,-0.0001841339157601936
CRUK0015_R1,0.0005055031005850516,0.0004346335500072168
CRUK0046_R3_ROI_2,-7.352611711746416e-5,0.00011295189520039459
CRUK0041_R2_ROI_2,-0.0007663229475977014,-0.00018260453551857165
CRUK0005_R3,-0.000836914343035898,-0.0003391250379694188
CRUK0010_R1_ROI_2,-0.0007287852983594535,-0.00018834760282709182
CRUK0036_R3_ROI_2,-0.0005978283685610892,-7.655445331273484e-5
CRUK0010_R1_ROI_1,-0.0008350726925569172,-0.0002813689524275929
CRUK0046_R4_ROI_2,0.00015976784615052113,0.0004149528689602053
CRUK0010_R2,0.00037667561297886437,0.00021134891331325934
CRUK0036_R1_ROI_1,-0.0006427850280748782,-0.00011411267437856102
CRUK0001_R1_ROI_1,-0.00021076713437282398,0.00015350464605499097
CRUK0052_R1_ROI_1,8.862081299642084e-5,0.00020564354358001418
CRUK0002_R3_ROI_2,-0.0008496649037383076,-0.0004124361965853595
CRUK0015_R2,-0.00014737003066250064,0.00034688854087397815
CRUK0024_R2,-0.0006337424970346702,-2.302072230009154e-5
CRUK0057_R2_ROI_2,0.001373422158024482,0.00024092751152689738
CRUK0005_R1,-0.0007742784517759803,-0.0002326054839162364
CRUK0052_R1_ROI_2,-0.0005507210656208257,4.524994846680764e-5
CRUK0038_R1,0.001368424679466897,3.1077443158369126e-5
CRUK0002_R2_ROI_1,-0.0007502298844077743,-0.00013771444170991294
CRUK0005_R4,-0.0008321744479030578,-0.00033604469901007326
CRUK0004_R3_ROI_2,-0.0006092465264283389,1.343787932379604e-5
CRUK0036_R3_ROI_1,-0.0005601449619403384,-0.00014907722816426193
CRUK0002_R3_ROI_1,-0.000879252071544623,-0.00043018651663896673
CRUK0009_R4_ROI_2,-0.00033641944973739795,0.00035376998770345676
CRUK0003_R6,-0.0005397564024242579,8.640441963347259e-5
CRUK0037_R2_ROI_1,-0.0004215904440879294,-4.735056404211863e-5
CRUK0046_R4_ROI_1,0.001184629666574689,0.00010078422780656901
CRUK0051_R4_ROI_2,0.00030138429697170783,0.000416584879429406
CRUK0006_R2_ROI_1,0.0004331668319412277,0.0003885954805948689
CRUK0024_R1,0.0022773908287567405,-0.00041899901727765785
