ROI,leukocytes_dim1_entropy,leukocytes_dim1_number_of_points
CRUK0037_R5_ROI_1,0.0,0
CRUK0052_R4,0.31062068434453205,10
CRUK0037_R5_ROI_2,0.2577860180388134,11
CRUK0001_R3_ROI_1,0.23844230350179824,8
CRUK0009_R3_ROI_1,0.21249373080890605,7
CRUK0037_R4_ROI_2,0.14038531081024144,6
CRUK0002_R1_ROI_1,0.3473932333350778,16
CRUK0006_R1_ROI_1,0.41115222951415276,58
CRUK0001_R2_ROI_2,0.2400453890086713,9
CRUK0024_R7_ROI_1,0.34545723045746984,20
CRUK0004_R3_ROI_1,0.33144113891795823,16
CRUK0009_R3_ROI_2,0.24382325896384033,12
CRUK0036_R2_ROI_2,0.18420802811295311,2
CRUK0037_R2_ROI_2,0.3047404449960284,24
CRUK0006_R2_ROI_2,0.4614020220893696,88
CRUK0001_R2_ROI_1,0.1892167684356401,14
CRUK0036_R2_ROI_1,0.16904151197002168,4
CRUK0002_R1_ROI_2,0.29165258220671403,6
CRUK0034_R1_ROI_2,0.5181130779350405,187
CRUK0047_R1,-0.0,1
CRUK0006_R1_ROI_2,0.36657430655889783,37
CRUK0024_R8,0.096925063078693,2
CRUK0041_R2_ROI_1,0.1749571758733566,7
CRUK0012_R1_ROI_2,0.4937998647007768,127
CRUK0034_R1_ROI_1,0.5368425102731884,232
CRUK0037_R4_ROI_1,-0.0,1
CRUK0001_R1_ROI_2,0.44215981438909063,63
CRUK0012_R1_ROI_1,0.39222061737759295,46
CRUK0052_R3,0.29678900397064434,12
CRUK0057_R2_ROI_1,0.43290927803863866,79
CRUK0009_R4_ROI_1,0.46777343769171237,79
CRUK0051_R4_ROI_1,0.41192717887702446,63
CRUK0024_R7_ROI_2,0.35614521581358993,24
CRUK0001_R3_ROI_2,0.24592758141869303,6
CRUK0046_R3_ROI_1,0.4717613543911817,125
CRUK0009_R2,0.4264951724449448,47
CRUK0048_R2,0.2523557896084493,8
CRUK0034_R3,0.5001315284443406,164
CRUK0036_R1_ROI_2,0.11110921987801375,3
CRUK0002_R2_ROI_2,0.09023647984984849,4
CRUK0015_R1,0.3792431401255407,38
CRUK0046_R3_ROI_2,0.3020351457644439,25
CRUK0041_R2_ROI_2,0.18374301943954763,5
CRUK0005_R3,0.09745977264792147,2
CRUK0010_R1_ROI_2,0.1596126906068199,4
CRUK0036_R3_ROI_2,0.2947180316458077,9
CRUK0010_R1_ROI_1,0.1399107907554758,3
CRUK0046_R4_ROI_2,0.3662939239783069,33
CRUK0010_R2,0.4497627938090885,54
CRUK0036_R1_ROI_1,0.11809604301583498,5
CRUK0001_R1_ROI_1,0.3429960447852318,24
CRUK0052_R1_ROI_1,0.4037231968501523,26
CRUK0002_R3_ROI_2,0.0,0
CRUK0015_R2,0.34015116814389745,21
CRUK0024_R2,0.241728362101795,11
CRUK0057_R2_ROI_2,0.4497486815804223,76
CRUK0005_R1,0.054108628907085725,3
CRUK0052_R1_ROI_2,0.26782591219158736,11
CRUK0038_R1,0.4513028986168703,77
CRUK0002_R2_ROI_1,0.21433811286993687,6
CRUK0005_R4,0.13455321029684508,2
CRUK0004_R3_ROI_2,0.23647633118008515,9
CRUK0036_R3_ROI_1,0.12449413750178706,4
CRUK0002_R3_ROI_1,0.15130623118537667,3
CRUK0009_R4_ROI_2,0.32227423421367485,21
CRUK0003_R6,0.2958271878085591,13
CRUK0037_R2_ROI_1,0.19886286157092908,9
CRUK0046_R4_ROI_1,0.4180514831689607,75
CRUK0051_R4_ROI_2,0.3795088847093826,32
CRUK0006_R2_ROI_1,0.4216960889097927,47
CRUK0024_R1,0.5131470670261647,141
