coordinates,cluster
00011_00009,0
00015_00026,3
00008_00003,5
00010_00013,7
00002_00010,7
00013_00026,4
00005_00021,2
00012_00013,6
00006_00020,7
00004_00022,7
00004_00006,0
00007_00027,7
00019_00007,7
00013_00004,-1
00006_00015,5
00010_00022,6
00013_00007,5
00013_00027,0
00005_00018,7
00014_00020,1
00012_00017,2
00001_00011,7
00015_00019,4
00004_00018,5
00016_00009,3
00017_00023,5
00009_00017,-1
00013_00018,5
00021_00015,7
00006_00011,0
00011_00014,7
00003_00022,7
00014_00025,7
00019_00009,4
00011_00015,6
00016_00017,0
00002_00019,5
00012_00007,5
00002_00011,6
00005_00019,7
00005_00012,1
00011_00017,1
00021_00016,1
00010_00017,7
00017_00005,7
00017_00010,6
00020_00013,5
00002_00017,6
00005_00005,1
00009_00018,7
00013_00020,1
00007_00004,5
00001_00010,6
00011_00016,1
00014_00005,3
00012_00019,1
00002_00021,7
00003_00017,4
00015_00017,0
00008_00018,3
00000_00015,6
00004_00007,0
00013_00002,1
00012_00011,0
00014_00000,5
00001_00012,7
00017_00019,5
00014_00019,7
00009_00008,0
00013_00015,1
00015_00023,-1
00009_00027,0
00003_00023,-1
00009_00006,6
00017_00007,5
00004_00014,6
00016_00006,7
00000_00017,7
00020_00006,0
00013_00025,7
00022_00009,0
00006_00022,0
00020_00010,0
00016_00018,5
00011_00021,5
00015_00002,1
00007_00005,7
00019_00004,2
00014_00012,5
00009_00024,7
00022_00017,0
00004_00009,0
00012_00000,5
00002_00009,6
00014_00014,0
00009_00010,0
00011_00012,0
00010_00027,0
00011_00022,1
00006_00017,7
00015_00022,6
00008_00028,0
00014_00022,1
00007_00018,7
00002_00023,0
00013_00028,1
00013_00013,5
00001_00021,5
00014_00017,2
00013_00008,7
00012_00028,0
00019_00011,7
00017_00017,0
00005_00016,-1
00013_00010,0
00007_00006,5
00013_00005,6
00016_00002,2
00016_00010,5
00020_00012,4
00019_00017,0
00010_00028,0
00006_00012,0
00022_00011,0
00009_00004,7
00005_00004,1
00011_00011,0
00010_00015,6
00012_00024,7
00006_00016,7
00000_00012,0
00017_00015,5
00015_00018,5
00003_00009,0
00000_00016,7
00012_00009,1
00009_00014,0
00007_00007,1
00011_00008,0
00008_00026,-1
00019_00018,0
00010_00019,6
00013_00000,5
00014_00001,1
00008_00023,7
00016_00001,-1
00012_00002,5
00006_00024,6
00016_00024,7
00008_00017,7
00014_00026,3
00008_00006,6
00001_00009,6
00013_00023,2
00001_00008,5
00009_00001,7
00014_00009,0
00019_00014,0
00016_00003,1
00011_00023,6
00017_00002,6
00015_00028,0
00015_00016,0
00012_00027,0
00006_00021,6
00004_00013,5
00023_00014,5
